名稱,前調,中調,後調
              POWDER FEELING ヴィーナスの肌            ,前調：佛手柑、杏果、桃子,中調：梔子花、夜來香、茉莉、玫瑰,後調：琥珀、麝香
              PUANANI 美々花            ,前調：佛手柑、蘋果、芒果、尤加利樹,中調：仙客來、小蒼蘭、茉莉,後調：雪松、麝香、琥珀、檀香
              PURPLE RAIN 道化師の涙            ,前調：萊姆、佛手柑、檸檬,中調：玫瑰、仙客來、鈴蘭、茉莉、小蒼蘭、紫丁香,後調：麝香、檀香、琥珀、蘋果
              Cil WHISPER 人魚のまつげ言葉            ,前調：檸檬、蘋果、綠葉,中調：玫瑰、茉莉,後調：麝香、琥珀、雪松
              HAPPY SHABON 幸せ香音            ,前調：蘋果、青蘋果、梨子,中調：茉莉、玫瑰、梔子花,後調：白麝香、木質、寶寶香
              IVORY HEART 素心            ,前調：檸檬、佛手柑、梨子,中調：玫瑰、天竺葵、鈴蘭,後調：麝香、琥珀、香瓜、廣藿香
              LITTLE WING 夢みる翼            ,前調：佛手柑、檸檬、醛香,中調：茉莉、含羞草、紫羅蘭,後調：苔蘚、麝香、檀香
              NINFA 左利きの紫妖精            ,前調：檸檬、佛手柑、綠色香調,中調：紫藤、綠茶,後調：麝香、木質
              MONET 萌音            ,前調：檸檬、佛手柑、快樂鼠尾草、海洋香調、松針,中調：玫瑰、茉莉、睡蓮,後調：麝香、雪松、廣藿香、檀香、苔蘚
              MONERIA 天心            ,前調：檸檬、柑橘、蘋果、依蘭、薰衣草,中調：鈴蘭、紫丁香、桃花、綠茶,後調：麝香、琥珀、木質
              MIRUMU 美流夢            ,前調：肉荳蔻、黑胡椒,中調：茉莉、鈴蘭,後調：麝香、琥珀、檀香、寶寶香
              CHERRY SUITS 麗桜香            ,前調：櫻桃、柑橘、綠葉,中調：櫻桃、茉莉、鈴蘭、玫瑰、新洋茉莉醛香,後調：麝香、琥珀
              SHY GIRL 裸の言葉            ,前調：柑橘、青橘,中調：鈴蘭、茉莉、玫瑰、紫羅蘭、小蒼蘭、鳶尾花,後調：麝香、琥珀、雪松
              ICE DOLL 雪姫            ,前調：佛手柑、果香綠檸檬,中調：玫瑰、鈴蘭、茉莉、百合,後調：琥珀、麝香、雪松
              LACRIMA 涙            ,前調：佛手柑、桂花、洋甘菊、快樂鼠尾草,中調：茉莉、保加利亞玫瑰、康乃馨、白百合,後調：桃子、琥珀、香草、麝香
              OSMANTHUS NIGHT 金木犀の夜更かし            ,前調：檸檬、佛手柑、小蒼蘭,中調：玫瑰、茉莉、桂花、鈴蘭,後調：麝香、琥珀、木質
              SMILE WIND ほほえむ風            ,前調：白桃、檸檬、佛手柑、鳳梨、海洋香調,中調：茉莉、小蒼蘭、鈴蘭、紫丁香、鳶尾花、玫瑰,後調：香草、焦糖、麝香、雪松、琥珀
              SANDALWOOD 白檀            ,前調：檸檬、佛手柑,中調：玫瑰、茉莉,後調：麝香、琥珀、檀香、廣藿香、香根草
              MIDNIGHT CIRCUS 夜中遊戯            ,前調：檸檬、佛手柑、尤加利樹,中調：小蒼蘭、鳳梨、茉莉、鈴蘭、玫瑰,後調：琥珀、廣藿香、檀香、麝香
              MARITIMO 裸海            ,前調：黑醋栗、檸檬、蘋果,中調：玫瑰、茉莉,後調：麝香、琥珀
              FANTASIA MARE 桃源海            ,前調：柑橘、新洋茉莉醛香、佛手柑、綠葉,中調：草本綠、茉莉、鈴蘭、玫瑰,後調：麝香、琥珀
              PLANET HEARTS 香輝心            ,前調：蘋果、檸檬、綠葉,中調：鈴蘭、茉莉、天竺葵,後調：麝香、琥珀
              NOBLESSE II 夜貴族            ,前調：佛手柑、薰衣草、醛香、檸檬、柑橘、綠葉,中調：鈴蘭、胡椒、康乃馨、玫瑰、芫荽、仙客來,後調：雪松、零陵香豆、麝香、苔蘚、琥珀
              SHY GUY 風の言葉            ,前調：佛手柑、檸檬、苦橙葉,中調：薰衣草、茉莉、康乃馨、鈴蘭,後調：苔蘚、雪松、麝香、木質
              VANILLA CAFE 甘美茶家            ,前調：醛香、香草,中調：鈴蘭、茉莉,後調：木質、麝香、甜麥芽酚、香豆素
              VINGT CINQ MOON 25時の月            ,前調：琥珀、綠葉,中調：琥珀、香草,後調：琥珀、麝香、香草、麝貓香、雪松
              VESPADA 冷たい影            ,前調：杜松子、黑胡椒、肉荳蔻、羅勒,中調：茉莉,後調：琥珀、橡苔、雪松、廣藿香、皮革
              EMELA 翠の楽園            ,前調：綠茶，綠色香調,中調：綠茶、茉莉,後調：麝香
              IMAGICIAN 魔香使い            ,前調：佛手柑、檸檬、生薑、粉紅胡椒、羅勒、大馬士革玫瑰,中調：茉莉、鈴蘭、紫羅蘭葉,後調：麝香、琥珀、香根草、雪松、零陵香豆、香草
